epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,91.6985,1.78975,0.36286,0.888,1.68068,0.000302654,0.000302654,0.000302654
2,127.36,1.70326,0.35543,0.902,1.74832,0.000590981,0.000590981,0.000590981
3,161.108,1.69626,0.37657,0.92743,1.6321,0.000822753,0.000822753,0.000822753
4,194.629,1.65787,0.37543,0.90571,1.62884,0.000723522,0.000723522,0.000723522
5,228.27,1.61012,0.40657,0.92657,1.54961,0.000598089,0.000598089,0.000598089
6,261.892,1.55715,0.40971,0.932,1.52243,0.000459045,0.000459045,0.000459045
7,295.607,1.51716,0.42857,0.93229,1.48009,0.000320001,0.000320001,0.000320001
8,329.406,1.48572,0.42971,0.93429,1.49248,0.000194568,0.000194568,0.000194568
9,363.129,1.45362,0.44057,0.93257,1.49067,9.50238e-05,9.50238e-05,9.50238e-05
10,396.768,1.42672,0.44457,0.93314,1.49415,3.11124e-05,3.11124e-05,3.11124e-05
